Name,Final Grade [Total Pts: 0 Text] |1781927,Weighted Total [Total Pts: up to 255 Percentage] |1753510,Assignment-3_Grid,Assignment-03_CS_x,Assignment-4_Balloon,Assignment-04_CS_x,Assignment-5_Solar,Assignment-05_CS_x,Assignment-7_DrawingBoard,Assignment-07_CS_x,Assignment-8_BouncingBall,Assignment-08_CS_x,Assignment-9_Record,Assignment-09_CS_x,Assignment-10_Javadoc,Assignment-10_CS_x,Assignment-11_Junit,Assignment-11_CS_x,Assignment-12_Counter,Assignment-12_CS_x,Assignment-13_OmokGUI,Assignment-13_CS_x,Assignment-14_MouseEvent,Assignment-14_CS_x,Assignment-15_JavaChatUI,Assignment-15_CS_x,Assignment-16_FactoryMethod,Assignment-16_CS_x,Assignment-17_Generalization,Assignment-17_CS_x,Assignment-18_OmokInfo,Assignment-18_CS_x,Assignment-19_JavaChat,Assignment-19_CS_x,Homework-4_GUIAPP,Homework-4_CS,Assignment-03_CS_y,Assignment-04_CS_y,Assignment-05_CS_y,Assignment-07_CS_y,Assignment-08_CS_y,Assignment-09_CS_y,Assignment-10_CS_y,Assignment-11_CS_y,Assignment-12_CS_y,Assignment-13_CS_y,Assignment-14_CS_y,Assignment-15_CS_y,Assignment-16_CS_y,Assignment-17_CS_y,Assignment-18_CS_y,Assignment-19_CS_y
Student-1,B,86.36142,10,,10,,10,,10,,9,,10,,10,,0,,10,,8,,10,,0,,9,,0,,10,,8,,98,,,,,,,,,,,,,,,,,
Student-2,C,63.24607,10,,0,,0,,6,,0,,9,,0,,7,,10,,8,,10,,8,,9,,0,,10,,10,,86,,,81.0,118.0,53.0,76.0,16.0,11.0,,9.0,12.0,15.0,,54.0,,10.0,32.0
Student-3,A,92.13803,9,,10,,10,,10,,10,,10,,10,,10,,10,,10,,9,,10,,10,,10,,10,,10,,98,,,,,,,,,,,,3.0,42.0,,,,
Student-4,C,65.38839,0,,0,,0,,0,,0,,9,,8,,10,,3,,8,,10,,6,,10,,8,,8,,8,,70,,,50.0,71.0,47.0,28.0,12.0,30.0,56.0,19.0,16.0,15.0,19.0,47.0,48.0,11.0,28.0
Student-5,B,85.105,10,,0,,0,,6,,0,,10,,0,,10,,10,,10,,10,,6,,11,,0,,7,,10,,97,,,,,,,,14.0,,,,,16.0,27.0,42.0,,
Student-6,A,99.52982,10,,0,,10,,10,,0,,0,,10,,2,,10,,8,,10,,10,,0,,10,,10,,10,,100,,,,,89.0,,18.0,,134.0,7.0,9.0,13.0,12.0,27.0,,,32.0
Student-7,B,80.59089,10,,10,,10,,10,,10,,9,,10,,10,,10,,8,,8,,5,,11,,8,,10,,10,,80,,22.0,,60.0,40.0,,,36.0,,7.0,16.0,15.0,9.0,,53.0,12.0,29.0
Student-8,D,54.23589,0,,10,,7,,10,,0,,0,,0,,0,,0,,6,,0,,8,,0,,0,,0,,0,,73,,,,,91.0,56.0,12.0,10.0,39.0,7.0,5.0,18.0,12.0,24.0,42.0,4.0,34.0
Student-9,A,87.44857,10,,10,,10,,10,,9,,0,,10,,5,,10,,10,,10,,10,,11,,8,,10,,10,,85,,,,,,,,,,,,,6.0,,,,
Student-10,B,77.90571,9,,10,,10,,0,,10,,0,,0,,10,,10,,0,,10,,10,,11,,10,,10,,10,,95,,,26.0,70.0,52.0,62.0,5.0,11.0,34.0,9.0,18.0,20.0,19.0,23.0,64.0,11.0,38.0
Student-11,A,102.4991,9,,10,,10,,10,,6,,0,,10,,10,,10,,10,,10,,10,,11,,10,,10,,10,,100,,,25.0,80.0,,45.0,34.0,,12.0,21.0,,25.0,10.0,34.0,23.0,15.0,32.0
Student-12,B,82.36375,0,,10,,10,,0,,10,,10,,0,,10,,10,,8,,10,,0,,11,,10,,0,,0,,96,,,39.0,65.0,80.0,43.0,7.0,24.0,39.0,9.0,21.0,13.0,25.0,52.0,46.0,11.0,43.0
Student-13,A,99.07892,10,,10,,10,,10,,10,,10,,8,,10,,10,,6,,10,,0,,11,,0,,10,,10,,98,,,34.0,106.0,,95.0,13.0,,69.0,7.0,7.0,10.0,,50.0,42.0,,
Student-14,C,68.16571,0,,0,,0,,0,,0,,0,,10,,8,,10,,8,,10,,6,,9,,10,,10,,10,,74,,20.0,29.0,63.0,24.0,110.0,17.0,,,10.0,22.0,15.0,,58.0,,9.0,40.0
Student-15,F,14.825,10,,0,,10,,10,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,8.0,218.0,,,,17.0,,,11.0,30.0
Student-16,B,80.15571,0,,0,,9,,10,,0,,0,,0,,0,,0,,0,,10,,10,,11,,10,,10,,10,,97,,,,,,14.0,12.0,,,21.0,,,,,,,
Student-17,F,44.00214,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,56,,,,,13.0,32.0,,,,,,,,,,,
Student-18,B,76.46607,10,,10,,10,,10,,10,,10,,10,,10,,10,,8,,10,,10,,10,,7,,10,,10,,84,,,,,51.0,,8.0,,,,,22.0,29.0,70.0,92.0,8.0,38.0
Student-19,B,80.57642,10,,10,,10,,10,,10,,10,,8,,7,,9,,8,,8,,10,,10,,6,,10,,10,,83,,,,,,,,,,,,,,,,,
Student-20,A,89.27714,10,,10,,10,,10,,10,,10,,10,,7,,10,,8,,9,,10,,6,,10,,10,,10,,86,,,23.0,53.0,108.0,40.0,12.0,11.0,38.0,13.0,17.0,15.0,15.0,35.0,101.0,11.0,45.0
Student-21,C,69.16839,10,,10,,10,,0,,10,,9,,0,,7,,10,,8,,0,,0,,11,,10,,10,,10,,90,,18.0,22.0,55.0,49.0,85.0,12.0,,22.0,6.0,5.0,12.0,25.0,35.0,63.0,4.0,31.0
Student-22,B,83.10767,10,,10,,10,,10,,10,,10,,0,,10,,10,,8,,0,,10,,10,,8,,10,,0,,83,,,45.0,,48.0,43.0,22.0,52.0,13.0,76.0,19.0,19.0,14.0,52.0,16.0,9.0,18.0
Student-23,D,53.93803,9,,0,,5,,6,,0,,10,,0,,3,,6,,6,,8,,0,,0,,0,,0,,0,,0,,13.0,34.0,42.0,,65.0,8.0,,22.0,7.0,6.0,,,52.0,101.0,10.0,47.0
Student-24,F,18.28214,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,17.0,27.0,50.0,43.0,108.0,18.0,,46.0,7.0,9.0,,15.0,52.0,57.0,11.0,
Student-25,A,93.125,10,,0,,10,,10,,10,,10,,0,,0,,10,,10,,10,,10,,10,,10,,0,,10,,90,,,,34.0,27.0,,15.0,,11.0,9.0,19.0,8.0,,,,,
Student-26,B,73.17696,10,,9,,10,,10,,10,,0,,0,,7,,10,,9,,10,,10,,10,,0,,0,,0,,0,,,,,,,,,,7.0,,,,,,,
Student-27,A,98.08607,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,11,,10,,10,,10,,100,,18.0,,162.0,64.0,76.0,8.0,,,6.0,13.0,16.0,11.0,48.0,53.0,,
Student-28,C,59.85035,10,,0,,0,,9,,0,,9,,10,,4,,10,,8,,10,,0,,0,,0,,0,,0,,0,,15.0,35.0,34.0,36.0,24.0,,,12.0,7.0,10.0,10.0,16.0,17.0,,,
Student-29,C,68.79821,10,,10,,6,,0,,6,,10,,10,,5,,10,,10,,10,,10,,10,,8,,10,,8,,86,,18.0,,101.0,49.0,64.0,21.0,27.0,26.0,10.0,14.0,16.0,24.0,67.0,41.0,13.0,
Student-30,A,94.86553,10,,0,,10,,10,,6,,9,,10,,7,,10,,10,,10,,8,,11,,0,,10,,6,,92,,18.0,,,42.0,,20.0,15.0,14.0,20.0,17.0,23.0,,,,,
Student-31,A,96.99178,10,,0,,10,,10,,4,,10,,10,,7,,10,,8,,10,,10,,9,,10,,10,,10,,86,,,16.0,29.0,,25.0,15.0,8.0,,21.0,15.0,13.0,17.0,16.0,57.0,3.0,14.0
Student-32,A,84.12321,10,,0,,7,,10,,2,,3,,10,,5,,10,,10,,10,,10,,9,,7,,10,,8,,80,,19.0,,41.0,50.0,35.0,12.0,15.0,21.0,,5.0,11.0,6.0,30.0,,10.0,38.0
Student-33,B,73.38,10,,0,,9,,10,,0,,9,,0,,0,,10,,0,,10,,10,,11,,10,,0,,10,,0,,18.0,,23.0,20.0,21.0,11.0,49.0,14.0,7.0,11.0,13.0,13.0,69.0,34.0,9.0,33.0
Student-34,A,96.31946,10,,0,,10,,10,,10,,9,,10,,10,,10,,10,,10,,10,,11,,10,,10,,10,,97,,15.0,,34.0,21.0,54.0,8.0,26.0,9.0,6.0,7.0,12.0,12.0,51.0,58.0,4.0,42.0
Student-35,B,74.48535,10,,0,,0,,10,,0,,0,,10,,10,,10,,0,,10,,8,,0,,0,,10,,10,,43,,25.0,,,57.0,,14.0,,,10.0,,9.0,17.0,50.0,68.0,,33.0
Student-36,A,101.24053,10,,0,,10,,10,,10,,9,,10,,10,,10,,9,,9,,0,,9,,8,,10,,10,,98,,,,,,,,,,,,,,,,,
Student-37,B,78.31892,10,,10,,10,,10,,6,,10,,0,,0,,10,,8,,10,,8,,0,,10,,10,,0,,98,,19.0,,,45.0,,,34.0,22.0,13.0,,17.0,17.0,,,20.0,36.0
Student-38,A,96.26053,10,,0,,10,,10,,10,,10,,10,,10,,10,,10,,10,,10,,11,,10,,10,,10,,97,,15.0,,64.0,56.0,79.0,11.0,20.0,15.0,,,,9.0,,,,
Student-39,I,21.68125,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
Student-40,B,78.38017,10,,0,,6,,10,,0,,10,,0,,7,,10,,10,,9,,8,,11,,8,,10,,10,,92,,19.0,,43.0,43.0,53.0,13.0,30.0,49.0,,6.0,9.0,,35.0,53.0,9.0,29.0
Student-41,B,73.44053,10,,0,,4,,9,,4,,10,,10,,2,,10,,8,,10,,10,,11,,10,,6,,10,,98,,13.0,26.0,60.0,49.0,39.0,12.0,,,8.0,7.0,13.0,21.0,,36.0,10.0,
